Val,Ticker,Date,Condition
0.03,VNQ,2021-05-16 00:00:00,1.0
0.05,VNQ,2021-05-16 00:00:00,1.0
0.08,IYR,2021-05-16 00:00:00,1.0
0.1,IYR,2021-05-16 00:00:00,1.0
0.13,IYR,2021-05-16 00:00:00,1.0
0.15,IYR,2021-05-16 00:00:00,1.0
0.18,XLU,2021-05-16 00:00:00,1.0
0.2,XLU,2021-05-16 00:00:00,1.0
0.03,SMH,2021-05-09 00:00:00,1.0
0.05,XLU,2021-05-09 00:00:00,1.0
0.08,XLU,2021-05-09 00:00:00,1.0
0.1,XLU,2021-05-09 00:00:00,1.0
0.13,XLU,2021-05-09 00:00:00,1.0
0.15,XLU,2021-05-09 00:00:00,1.0
0.18,XLU,2021-05-09 00:00:00,1.0
0.2,XLU,2021-05-09 00:00:00,1.0
0.18,IYE,2020-11-08 00:00:00,1.0
0.2,IYE,2020-11-08 00:00:00,1.0
0.05,XLV,2021-02-06 00:00:00,1.0
0.08,GDX,2021-02-06 00:00:00,1.0
0.1,GDX,2021-02-06 00:00:00,1.0
0.13,GDX,2021-02-06 00:00:00,1.0
0.15,GDX,2021-02-06 00:00:00,1.0
0.18,GDX,2021-02-06 00:00:00,1.0
0.2,GDX,2021-02-06 00:00:00,1.0
0.03,VNQ,2021-05-16 00:00:00,1.0
0.05,VNQ,2021-05-16 00:00:00,1.0
0.08,IYR,2021-05-16 00:00:00,1.0
0.1,IYR,2021-05-16 00:00:00,1.0
0.13,IYR,2021-05-16 00:00:00,1.0
0.15,IYR,2021-05-16 00:00:00,1.0
0.18,XLU,2021-05-16 00:00:00,1.0
0.2,XLU,2021-05-16 00:00:00,1.0
0.08,XTL,2021-07-28 00:00:00,1.0
0.1,XTL,2021-07-28 00:00:00,1.0
0.13,GDX,2021-07-28 00:00:00,1.0
0.15,GDX,2021-07-28 00:00:00,1.0
0.18,GDX,2021-07-28 00:00:00,1.0
0.2,GDX,2021-07-28 00:00:00,1.0
0.05,XLP,2020-05-23 00:00:00,1.0
0.08,XLP,2020-05-23 00:00:00,1.0
0.13,OIH,2021-06-26 00:00:00,1.0
0.15,OIH,2021-06-26 00:00:00,1.0
0.18,OIH,2021-06-26 00:00:00,1.0
0.2,OIH,2021-06-26 00:00:00,1.0
0.05,VNQ,2020-11-03 00:00:00,1.0
0.08,VNQ,2020-11-03 00:00:00,1.0
0.1,VNQ,2020-11-03 00:00:00,1.0
0.13,XOP,2020-11-03 00:00:00,1.0
0.15,XOP,2020-11-03 00:00:00,1.0
0.18,XOP,2020-11-03 00:00:00,1.0
0.2,XOP,2020-11-03 00:00:00,1.0
0.18,XHB,2020-11-11 00:00:00,1.0
0.2,XHB,2020-11-11 00:00:00,1.0
0.03,IYR,2020-07-22 00:00:00,1.0
0.05,IYR,2020-07-22 00:00:00,1.0
0.08,IYR,2020-07-22 00:00:00,1.0
0.1,IYR,2020-07-22 00:00:00,1.0
0.13,IYR,2020-07-22 00:00:00,1.0
0.15,IYR,2020-07-22 00:00:00,1.0
0.18,IYR,2020-07-22 00:00:00,1.0
0.2,IYR,2020-07-22 00:00:00,1.0
0.08,GDXJ,2020-08-27 00:00:00,1.0
0.1,GDXJ,2020-08-27 00:00:00,1.0
0.13,GDXJ,2020-08-27 00:00:00,1.0
0.15,GDXJ,2020-08-27 00:00:00,1.0
0.18,GDXJ,2020-08-27 00:00:00,1.0
0.2,GDXJ,2020-08-27 00:00:00,1.0
0.1,XHB,2021-06-03 00:00:00,1.0
0.13,XHB,2021-06-03 00:00:00,1.0
0.15,XHB,2021-06-03 00:00:00,1.0
0.18,XHB,2021-06-03 00:00:00,1.0
0.2,XHB,2021-06-03 00:00:00,1.0
0.03,XLB,2021-07-14 00:00:00,1.0
0.05,XLB,2021-07-14 00:00:00,1.0
0.08,XLU,2021-07-14 00:00:00,1.0
0.1,XLU,2021-07-14 00:00:00,1.0
0.13,XLU,2021-07-14 00:00:00,1.0
0.15,XLU,2021-07-14 00:00:00,1.0
0.18,XLU,2021-07-14 00:00:00,1.0
0.2,XLU,2021-07-14 00:00:00,1.0
0.13,XLU,2020-05-22 00:00:00,1.0
0.15,XLU,2020-05-22 00:00:00,1.0
0.18,XLU,2020-05-22 00:00:00,1.0
0.2,XLU,2020-05-22 00:00:00,1.0
0.05,IYE,2020-08-30 00:00:00,1.0
0.08,XOP,2020-08-30 00:00:00,1.0
0.1,XOP,2020-08-30 00:00:00,1.0
0.13,XLE,2020-08-30 00:00:00,1.0
0.15,XLE,2020-08-30 00:00:00,1.0
0.18,XLE,2020-08-30 00:00:00,1.0
0.2,XLE,2020-08-30 00:00:00,1.0
0.15,XRT,2020-09-18 00:00:00,1.0
0.18,XRT,2020-09-18 00:00:00,1.0
0.2,XRT,2020-09-18 00:00:00,1.0
0.05,VNQ,2021-07-03 00:00:00,1.0
0.08,IYR,2021-07-03 00:00:00,1.0
0.1,IYR,2021-07-03 00:00:00,1.0
0.13,IYR,2021-07-03 00:00:00,1.0
0.15,IYR,2021-07-03 00:00:00,1.0
0.18,IYR,2021-07-03 00:00:00,1.0
0.2,IYR,2021-07-03 00:00:00,1.0
0.1,XLF,2021-07-24 00:00:00,1.0
0.13,XLF,2021-07-24 00:00:00,1.0
0.15,XLF,2021-07-24 00:00:00,1.0
0.18,XLF,2021-07-24 00:00:00,1.0
0.2,XLF,2021-07-24 00:00:00,1.0
0.05,VNQ,2020-11-03 00:00:00,1.0
0.08,VNQ,2020-11-03 00:00:00,1.0
0.1,VNQ,2020-11-03 00:00:00,1.0
0.13,XOP,2020-11-03 00:00:00,1.0
0.15,XOP,2020-11-03 00:00:00,1.0
0.18,XOP,2020-11-03 00:00:00,1.0
0.2,XOP,2020-11-03 00:00:00,1.0
0.05,IYR,2020-12-16 00:00:00,1.0
0.13,XLE,2021-05-30 00:00:00,1.0
0.15,XLE,2021-05-30 00:00:00,1.0
0.18,XLE,2021-05-30 00:00:00,1.0
0.2,XLE,2021-05-30 00:00:00,1.0
0.18,XLK,2021-03-10 00:00:00,1.0
0.2,XLK,2021-03-10 00:00:00,1.0
0.13,OIH,2021-06-26 00:00:00,1.0
0.15,OIH,2021-06-26 00:00:00,1.0
0.18,OIH,2021-06-26 00:00:00,1.0
0.2,OIH,2021-06-26 00:00:00,1.0
0.13,OIH,2021-06-26 00:00:00,1.0
0.15,OIH,2021-06-26 00:00:00,1.0
0.18,OIH,2021-06-26 00:00:00,1.0
0.2,OIH,2021-06-26 00:00:00,1.0
0.08,GDX,2020-10-09 00:00:00,1.0
0.1,GDX,2020-10-09 00:00:00,1.0
0.13,GDX,2020-10-09 00:00:00,1.0
0.15,GDX,2020-10-09 00:00:00,1.0
0.18,GDX,2020-10-09 00:00:00,1.0
0.2,GDX,2020-10-09 00:00:00,1.0
0.18,XHB,2020-11-11 00:00:00,1.0
0.2,XHB,2020-11-11 00:00:00,1.0
0.18,XLV,2021-03-06 00:00:00,1.0
